DATE,ability,absacc,acc,accq,adm,ami,assgrw,ba,backlog,bcir,bet,betasq,bliq,bm,capexgrw,cashdebt,cdi,cep,cfmkt,chcurrat,chg_debt,chg_fin,chgat,chgcoa,chgcol,chgnoa,chgnwc,chgoa,chgol,chgpm,chgppe,chinv,chmom,chtx,ci,coskew,cp,crev,csaleinv,cto,currat,dctaq,ddemp,depr,dfina,dimson,dior,disacc,divy,dlno,dnco,dnwc,down,dp,droa,droe,dsti,earet,earnsm,ebg,ebm,em,ep,eqd,etax,fhigh,firmage,frm,fscore,gad,gltdebt,gmsale,gprof,gscore,hire,idio,ind,indcapex,indcf,indebit,indsale,intanret,invgrw,ior,kzindex,laboreff,lev,levbm,lmom,ltbeta,ltrev,max,mliq,mom,mv,nef,noa,npyield,nxf,ocp,operprof,orgcap,oscore,pchdepr,pchquick,pctacc,peroa,pin,price,prof,profm,pyield,quick,rdmkt,rdmve,rds,rdsale,real,roa,roavol,roe,roic,rom,rsup,salecash,saleinv,saleinvt,salerec,salerect,salexsga,sdebt,sgr,shriss1,shriss5,size,sp,spitem,sprdvol,stbeta,stdacc,stdcf,stdroa,strev,sue,susg,ta,tang,tbi,td,turn,varcf,vdvol,voltrend,vturn,wwindex,xfin,zero,zscore
20000103,0.9%,2.2%,-1.4%,4.2%,0.9%,-0.2%,-0.7%,-0.6%,,1.0%,0.4%,2.3%,1.6%,-0.3%,-0.5%,-2.7%,-1.5%,-1.6%,-3.0%,-0.3%,0.5%,-0.1%,-0.5%,-0.8%,-0.6%,-1.4%,-0.4%,-1.9%,-0.8%,1.1%,-1.3%,-1.5%,-0.3%,0.2%,0.1%,0.0%,-0.3%,1.3%,0.9%,1.2%,1.5%,0.0%,-0.3%,2.4%,0.0%,-0.5%,-0.9%,-0.4%,2.0%,-0.9%,-0.7%,-0.8%,2.7%,1.7%,-1.1%,-1.8%,-0.9%,-1.5%,-0.1%,1.8%,1.1%,1.1%,-4.1%,0.7%,0.7%,-1.3%,-3.4%,-1.4%,-1.3%,1.0%,-0.9%,-0.3%,-1.9%,,-1.5%,4.4%,1.5%,1.2%,-2.4%,-2.7%,0.2%,-0.9%,-0.1%,-4.7%,-0.7%,0.0%,-1.6%,-0.1%,-0.8%,,-1.7%,2.2%,-0.4%,0.6%,3.2%,2.4%,-0.7%,1.0%,1.3%,-1.4%,-0.4%,3.3%,2.6%,0.6%,-0.2%,1.5%,1.3%,-0.2%,-5.4%,-2.1%,-3.6%,1.0%,0.9%,1.8%,,2.2%,2.4%,-0.5%,-3.0%,6.3%,-2.8%,-3.4%,-2.7%,-1.2%,-1.4%,-1.3%,1.1%,1.6%,-0.4%,1.2%,,-0.5%,1.6%,1.1%,-5.2%,-0.0%,-0.6%,3.9%,2.3%,2.5%,2.6%,,2.4%,-1.1%,-1.2%,0.8%,1.2%,-1.9%,0.4%,2.2%,1.9%,-0.6%,-0.1%,4.3%,3.6%,2.1%,-1.6%,-0.9%
20000104,-1.1%,-0.2%,-0.1%,0.0%,1.9%,3.1%,-2.8%,-0.7%,,-0.7%,-4.3%,-1.8%,-2.2%,1.9%,0.3%,-0.6%,-0.8%,-1.8%,0.1%,-0.1%,-0.4%,0.0%,0.1%,-0.6%,-0.8%,-0.8%,-0.5%,-0.9%,-0.3%,-0.1%,-0.2%,0.3%,-1.3%,-0.9%,0.0%,1.8%,1.5%,-1.9%,0.4%,0.0%,-0.9%,-0.8%,-1.4%,-0.5%,-1.6%,-1.5%,-1.9%,0.4%,-0.2%,-1.3%,-1.0%,-0.1%,-3.5%,2.5%,-0.7%,0.1%,-1.5%,-1.6%,-0.0%,1.3%,-0.1%,-1.9%,0.7%,-1.6%,-0.1%,-0.6%,1.8%,0.8%,-0.2%,-1.8%,-1.1%,-0.1%,-0.6%,,-1.4%,-0.9%,-2.1%,0.1%,0.5%,-0.2%,-1.1%,0.1%,0.7%,-3.0%,-2.6%,0.4%,2.1%,-0.1%,-1.4%,,-1.7%,-2.9%,3.4%,-2.7%,-3.3%,-0.2%,0.1%,0.7%,-0.6%,-0.6%,-0.8%,0.3%,1.3%,-0.2%,-0.2%,-0.1%,0.1%,2.9%,-5.4%,0.5%,-0.2%,1.3%,-1.0%,1.9%,,-0.6%,-0.6%,0.1%,-0.9%,0.3%,-0.6%,-0.7%,-0.6%,-0.2%,1.0%,0.1%,0.3%,0.2%,0.6%,-0.3%,,-0.6%,-0.7%,-0.1%,-4.1%,2.5%,0.9%,3.1%,-0.5%,0.4%,0.6%,,-2.5%,-0.2%,-1.8%,-1.3%,-0.3%,-1.1%,-0.1%,-3.2%,2.4%,-4.8%,-0.4%,-1.9%,1.2%,-0.2%,3.6%,-4.1%
20000105,0.7%,1.1%,-0.9%,1.9%,0.2%,0.7%,-1.5%,-0.3%,,-1.5%,-0.6%,0.3%,-0.1%,0.6%,-0.7%,-0.9%,-0.4%,-0.1%,-2.0%,-0.0%,-0.6%,-0.5%,-0.2%,-0.3%,-1.2%,-0.3%,-0.3%,-0.7%,-0.8%,0.4%,-0.4%,0.2%,-0.1%,-0.8%,-0.8%,-0.0%,-0.9%,-0.3%,0.2%,0.5%,-0.2%,-0.1%,-1.2%,0.3%,-0.3%,0.0%,0.1%,0.1%,0.3%,0.3%,-0.0%,0.4%,0.1%,-0.8%,-0.8%,-0.7%,-0.6%,-0.5%,0.4%,-0.3%,0.3%,1.2%,0.1%,1.8%,0.2%,-0.7%,0.1%,1.2%,-0.1%,-0.4%,-0.2%,-0.1%,-0.4%,,-0.9%,2.0%,-0.4%,0.0%,-1.7%,-1.0%,0.2%,-0.2%,-0.1%,-1.2%,0.2%,0.5%,-0.6%,-0.2%,-0.3%,,-0.7%,1.3%,0.6%,-0.7%,1.3%,0.8%,-0.1%,0.8%,0.4%,-0.9%,-0.3%,0.8%,1.6%,-0.3%,-0.3%,-0.0%,-0.2%,-0.4%,-2.8%,-0.7%,-1.1%,0.9%,-0.3%,1.0%,,1.4%,0.4%,0.2%,-1.8%,1.4%,-1.8%,-1.5%,-2.2%,-0.9%,-0.3%,-0.1%,0.5%,0.6%,-0.1%,-0.2%,,-0.6%,0.6%,0.9%,-2.0%,-0.0%,-0.2%,1.6%,1.4%,1.9%,1.5%,,0.3%,-0.1%,-0.5%,-0.1%,1.4%,-0.5%,0.6%,0.5%,0.7%,-1.2%,0.4%,1.9%,0.9%,-0.1%,-0.4%,0.1%
20000106,-0.2%,0.5%,-1.2%,1.6%,0.8%,0.9%,-2.1%,-1.7%,,-1.3%,-0.7%,1.1%,-2.5%,1.8%,0.0%,-2.2%,0.6%,-0.8%,-0.4%,-0.3%,-0.3%,-0.3%,-0.5%,-0.6%,-0.4%,-0.4%,-0.0%,-0.7%,-0.6%,-0.3%,-0.3%,0.2%,-0.8%,-1.1%,0.1%,0.4%,0.8%,-1.1%,-0.9%,-0.5%,0.3%,-0.1%,-0.4%,0.2%,-0.8%,-0.5%,-0.4%,-0.2%,1.2%,-0.9%,-1.1%,0.5%,-2.5%,1.6%,-0.4%,0.2%,-1.1%,-1.0%,0.6%,-0.9%,0.9%,-1.1%,-0.6%,0.3%,-0.1%,-0.8%,1.9%,-0.4%,-0.6%,-1.2%,0.1%,-1.3%,-1.0%,,-0.7%,1.0%,-1.1%,-1.3%,-1.2%,-1.9%,-0.9%,-0.4%,-0.5%,-1.5%,-1.1%,0.9%,0.2%,-0.0%,-1.0%,,-1.3%,-0.8%,2.4%,-2.3%,-1.4%,0.9%,-0.1%,-0.5%,0.1%,0.5%,-1.3%,1.0%,2.0%,0.2%,-0.0%,-0.1%,-0.1%,0.8%,-3.8%,-0.6%,-0.9%,-0.5%,0.3%,2.1%,,0.6%,1.3%,-0.3%,-1.6%,1.1%,0.3%,-2.0%,-0.5%,-0.9%,-0.1%,-1.2%,-0.7%,-0.1%,0.3%,-0.9%,,-0.6%,0.2%,1.1%,-2.2%,0.7%,0.2%,2.2%,0.1%,2.0%,1.7%,,-1.6%,-0.3%,-1.1%,-1.3%,0.1%,-0.5%,-0.4%,-1.6%,-0.3%,-2.9%,-0.3%,-0.7%,0.5%,-0.2%,1.7%,-3.1%
20000107,-0.3%,0.4%,-0.4%,0.9%,-1.1%,-2.5%,0.7%,-1.2%,,1.2%,3.0%,0.7%,-0.5%,-1.6%,0.5%,-1.1%,0.1%,0.5%,-2.1%,-0.7%,0.0%,0.5%,-0.0%,-0.2%,0.9%,-0.1%,-0.7%,-0.7%,-0.4%,0.2%,-0.1%,-0.3%,1.1%,0.1%,0.2%,-0.8%,-1.6%,1.7%,-0.2%,0.7%,0.7%,-0.1%,0.2%,1.6%,-0.2%,2.0%,0.1%,-0.9%,1.4%,-0.8%,-0.0%,-0.5%,2.0%,0.5%,0.2%,-0.2%,0.1%,0.3%,1.7%,0.2%,-0.7%,1.2%,-0.5%,1.0%,-0.3%,0.2%,-0.6%,0.2%,-0.3%,0.1%,-0.4%,0.2%,-2.4%,,-0.5%,1.6%,1.2%,0.6%,-2.9%,-2.0%,0.4%,-0.5%,0.4%,1.0%,1.4%,-0.1%,-1.7%,-0.3%,0.9%,,0.2%,1.9%,-1.4%,1.8%,2.5%,0.7%,-1.0%,-0.6%,-0.4%,-0.1%,-0.6%,0.9%,-0.3%,0.4%,-0.5%,0.3%,0.2%,-1.3%,1.0%,-0.2%,-1.9%,-1.0%,0.9%,0.8%,,1.9%,2.0%,-0.9%,-0.9%,0.8%,-0.8%,-0.5%,-1.8%,-0.3%,-1.5%,0.1%,-0.1%,0.4%,0.6%,-0.1%,,-0.3%,0.8%,1.3%,0.8%,-1.7%,-0.9%,-1.7%,0.6%,0.6%,0.6%,,0.7%,-0.4%,-1.5%,0.6%,1.0%,-0.4%,0.2%,2.1%,0.2%,2.3%,0.1%,1.5%,1.2%,0.8%,-1.9%,1.0%
20000110,-1.4%,1.6%,-0.7%,2.4%,-0.6%,-1.6%,0.8%,-1.9%,,1.9%,4.1%,3.6%,2.5%,-1.9%,-0.0%,-2.1%,-0.8%,1.3%,-2.2%,-0.6%,0.1%,-0.6%,0.4%,-0.1%,-0.2%,-0.8%,0.1%,-1.9%,-0.8%,0.9%,-0.5%,-0.3%,1.6%,0.6%,-0.7%,-3.2%,-2.2%,3.8%,0.6%,0.7%,1.3%,0.0%,0.0%,1.9%,0.7%,1.2%,0.3%,-1.3%,-0.4%,-0.6%,-1.7%,-0.3%,3.0%,-0.9%,-0.6%,-1.1%,-0.8%,1.1%,0.6%,0.7%,0.6%,1.9%,-1.4%,-3.9%,-0.4%,1.0%,-2.4%,-0.3%,-0.3%,1.2%,-0.5%,0.3%,-1.6%,,-0.6%,3.0%,2.7%,-0.8%,-2.6%,-3.5%,-0.4%,-0.2%,0.0%,0.3%,3.1%,0.9%,-4.2%,-0.8%,2.4%,,-0.2%,3.4%,-1.0%,4.1%,3.7%,3.3%,0.5%,0.8%,1.3%,-1.5%,-2.3%,2.5%,-0.7%,0.7%,-0.7%,0.6%,0.8%,-2.0%,1.6%,-1.4%,-4.0%,-0.4%,1.5%,1.0%,,4.6%,5.1%,-1.3%,-1.6%,3.0%,-2.1%,-2.6%,-1.6%,-0.0%,-2.2%,-0.6%,0.8%,1.9%,1.1%,1.3%,,0.6%,1.5%,2.2%,0.3%,-3.3%,-0.9%,-0.5%,2.3%,3.1%,3.1%,,3.1%,1.1%,0.1%,1.5%,2.0%,-0.9%,0.1%,3.6%,-0.7%,2.7%,-0.0%,3.3%,2.8%,0.9%,-3.5%,1.8%
20000111,-0.7%,-0.1%,-0.0%,-0.2%,1.4%,1.2%,-1.4%,-0.4%,,-1.2%,-1.7%,-0.9%,-1.4%,1.5%,0.4%,-1.3%,-0.2%,-0.6%,0.1%,0.6%,0.2%,0.5%,-0.3%,-0.2%,-0.8%,-0.1%,0.6%,-0.3%,-0.7%,-0.8%,0.4%,-0.5%,-0.3%,-0.1%,0.3%,0.8%,1.2%,-1.1%,-0.3%,-0.2%,0.6%,0.1%,0.5%,0.5%,-1.1%,-0.3%,0.2%,0.7%,0.5%,-0.2%,0.1%,0.3%,-1.8%,0.1%,-0.2%,0.2%,-0.8%,-1.1%,0.4%,-0.3%,-0.3%,-0.6%,0.4%,1.1%,-0.8%,0.1%,1.1%,-0.4%,-1.2%,-1.5%,0.4%,0.5%,-1.4%,,-0.3%,-0.4%,-0.8%,-1.0%,-1.1%,-0.9%,-0.2%,-0.1%,-0.1%,-0.9%,-1.4%,-0.6%,0.2%,-0.5%,-1.9%,,-1.1%,-2.1%,2.2%,-1.8%,-2.8%,-0.3%,-0.5%,1.5%,0.2%,0.7%,-0.6%,-0.2%,1.3%,0.6%,0.1%,-0.6%,-0.5%,1.4%,-3.5%,0.5%,-0.7%,1.6%,0.3%,1.3%,,0.5%,0.4%,0.2%,-1.2%,0.6%,-0.2%,-1.1%,-1.1%,-0.0%,-0.2%,-0.6%,-0.1%,0.0%,0.2%,-0.7%,,-0.5%,-0.4%,-0.7%,-2.4%,1.2%,-0.2%,2.0%,-0.5%,0.2%,0.4%,,-1.3%,0.4%,-1.1%,-0.4%,0.6%,-0.1%,0.0%,-1.9%,1.5%,-2.8%,-0.7%,-1.6%,0.7%,0.2%,2.3%,-2.0%
20000112,-0.5%,0.1%,0.3%,-0.2%,-0.8%,0.5%,-0.8%,-0.3%,,-3.9%,-0.3%,-1.3%,-1.3%,1.6%,-0.7%,-0.1%,-0.5%,-0.4%,0.4%,-0.2%,-0.6%,-0.5%,0.3%,-0.4%,-0.3%,-0.7%,-0.4%,-0.6%,-0.1%,-0.1%,-0.3%,-0.6%,0.4%,0.0%,-1.0%,0.5%,0.5%,-0.5%,0.9%,-0.3%,0.2%,-0.0%,-1.1%,-0.2%,0.2%,0.1%,-0.4%,-0.2%,-0.5%,-0.5%,-1.2%,-0.3%,-1.9%,0.5%,-0.5%,-0.1%,-0.6%,-0.4%,-1.6%,-0.3%,0.6%,-0.2%,-0.1%,-1.5%,0.7%,0.2%,1.0%,0.1%,0.0%,-1.4%,-0.7%,0.3%,0.0%,,-0.7%,-0.4%,0.2%,0.1%,0.3%,0.0%,-0.5%,0.3%,-0.3%,-1.3%,-1.2%,0.3%,0.3%,-0.4%,-0.6%,,-0.2%,-1.2%,0.4%,-0.7%,-1.2%,-0.3%,0.0%,0.2%,0.2%,0.0%,-0.3%,0.3%,-0.4%,0.4%,-0.3%,-0.0%,0.4%,1.1%,-1.4%,0.3%,0.2%,0.5%,0.2%,2.0%,,0.1%,0.1%,0.4%,0.3%,-0.1%,-0.1%,0.1%,0.4%,0.0%,0.1%,-0.5%,0.8%,-0.4%,0.1%,0.3%,,-0.3%,-0.5%,-0.9%,-1.6%,0.6%,-0.3%,1.2%,-0.1%,-0.2%,-0.4%,,-0.9%,-0.1%,-0.9%,-0.6%,-0.4%,-0.6%,-0.3%,-1.6%,-0.6%,-1.7%,0.3%,-0.8%,0.5%,-0.4%,1.9%,-1.1%
20000113,1.1%,0.5%,-0.9%,0.8%,-0.9%,-1.6%,0.5%,0.1%,,-0.2%,3.1%,1.5%,1.3%,-0.5%,0.2%,-0.7%,0.5%,1.1%,-0.4%,0.2%,0.3%,0.0%,-0.6%,-1.1%,0.0%,0.2%,-0.5%,0.0%,-0.0%,-1.0%,-0.4%,-1.2%,0.3%,-0.2%,0.0%,-1.4%,-0.7%,1.0%,-0.3%,-0.1%,0.9%,-0.5%,0.3%,0.8%,1.1%,0.7%,-0.0%,-0.3%,1.1%,0.1%,-0.6%,0.3%,2.2%,-0.4%,0.5%,0.5%,0.5%,0.7%,1.4%,0.5%,1.0%,0.9%,-1.8%,-1.6%,-0.2%,-0.8%,-0.8%,-0.6%,-0.0%,-0.2%,0.2%,0.1%,-0.9%,,-0.2%,0.9%,2.0%,-0.8%,-1.6%,-0.6%,-0.8%,-0.3%,0.2%,1.0%,1.1%,-0.2%,-1.3%,-0.9%,0.8%,,0.2%,1.3%,-1.2%,1.6%,2.3%,0.8%,0.1%,-0.6%,1.3%,0.0%,-0.8%,0.4%,-1.4%,0.1%,0.3%,-0.2%,-0.2%,-1.5%,1.3%,-1.0%,-0.8%,-0.7%,1.0%,-1.4%,,1.7%,1.9%,0.1%,-0.0%,-0.8%,-0.6%,-0.8%,-0.3%,-0.6%,-1.3%,0.3%,-0.4%,0.1%,-0.3%,-0.6%,,-0.7%,1.1%,0.9%,1.2%,-1.6%,-1.1%,-1.4%,0.4%,1.0%,1.1%,,0.6%,0.2%,-0.2%,1.6%,0.6%,-0.1%,-0.1%,2.4%,0.3%,2.0%,0.0%,1.7%,0.5%,0.9%,-2.6%,1.4%
20000114,-0.1%,0.5%,0.4%,1.1%,-0.6%,-0.3%,0.8%,-0.6%,,-0.5%,2.4%,2.5%,1.4%,-0.8%,-0.2%,-0.5%,0.1%,0.5%,-1.1%,-0.2%,0.3%,0.3%,0.3%,-0.7%,-0.7%,0.5%,-0.5%,0.4%,-0.4%,-0.3%,-0.2%,-1.0%,1.1%,-0.5%,-0.5%,-0.4%,-0.9%,1.9%,-0.1%,0.2%,1.1%,0.2%,0.5%,0.9%,0.2%,1.1%,0.1%,-0.8%,-0.1%,0.6%,0.5%,-0.5%,1.4%,-0.7%,0.9%,0.5%,-0.5%,-0.5%,1.6%,0.9%,-0.1%,1.3%,-0.5%,-0.9%,-0.6%,0.4%,-1.2%,-0.4%,-0.9%,-0.8%,0.3%,-0.1%,-1.4%,,-0.0%,1.6%,2.2%,-0.1%,-0.8%,-0.7%,-0.2%,-0.2%,-0.2%,0.1%,1.4%,-0.1%,-1.5%,-0.2%,0.4%,,-0.3%,1.7%,0.6%,1.6%,2.3%,0.6%,-0.2%,-0.7%,0.5%,-0.3%,-0.2%,0.8%,-0.3%,0.8%,-0.1%,0.5%,0.2%,-0.5%,-0.2%,-0.4%,-0.9%,-0.6%,1.1%,-0.3%,,2.4%,2.2%,-0.1%,-0.2%,0.9%,-0.5%,-1.0%,-1.1%,-0.6%,-1.1%,-1.2%,-0.1%,0.3%,0.2%,0.0%,,0.3%,1.0%,1.0%,-0.5%,-1.0%,-0.7%,0.5%,1.3%,1.3%,1.7%,,1.4%,0.2%,0.6%,0.8%,0.5%,-0.9%,-0.2%,1.8%,0.1%,0.5%,1.1%,1.3%,0.4%,0.9%,-2.0%,1.2%
