,loss,iteration,Rho,kappa,look_back,rebalancing_frequency,,,sharpe
0,-2.085528534,0,0.25,55.92429415,21,21,,,2.085528534
1,-2.784716973,1,0.25,4.260509749,21,21,,,2.784716973
2,-1.674137523,2,0.25,18.81887909,21,21,,,1.674137523
3,-1.450960772,3,0.25,55.95656828,21,21,,,1.450960772
4,-1.166072333,4,0.25,93.30004697,21,21,,,1.166072333
5,-0.210853202,5,0.25,14.4027718,21,21,,,0.210853202
6,-2.085088225,6,0.25,77.323853,21,21,,,2.085088225
7,-1.806618787,7,0.25,60.51122674,21,21,,,1.806618787
8,-1.051492144,8,0.25,76.29438364,21,21,,,1.051492144
9,-1.120940241,9,0.25,73.21092755,21,21,,,1.120940241
10,-2.315865448,10,0.25,58.95240084,21,21,,,2.315865448
11,-1.712720986,11,0.25,66.56976274,21,21,,,1.712720986
12,-0.54860193,12,0.25,40.28036436,21,21,,,0.54860193
13,-1.091780737,13,0.25,1.774257655,21,21,,,1.091780737
14,-0.991533123,14,0.25,84.52309614,21,21,,,0.991533123
15,-2.318760455,15,0.25,50.87497302,21,21,,,2.318760455
16,-1.595921643,16,0.25,25.72367799,21,21,,,1.595921643
17,-0.261483242,17,0.25,96.16968271,21,21,,,0.261483242
18,-2.646118073,18,0.25,41.97010155,21,21,,,2.646118073
19,-1.571763228,19,0.25,94.85963429,21,21,,,1.571763228
20,-2.646696739,20,0.25,40.73356436,21,21,,,2.646696739
21,-2.905947618,21,0.25,2.323995259,21,21,,,2.905947618
22,-2.806009543,22,0.25,3.613330528,21,21,,,2.806009543
23,-2.653930249,23,0.25,9.826038018,21,21,,,2.653930249
24,-2.58290293,24,0.25,27.36237028,21,21,,,2.58290293
25,-3.173634224,25,0.25,0.963841343,21,21,,,3.173634224
26,-2.578322733,26,0.25,30.66896334,21,21,,,2.578322733
27,-2.610619058,27,0.25,16.4243166,21,21,,,2.610619058
28,-1.912093524,28,0.25,10.00033536,21,21,,,1.912093524
29,-2.593978213,29,0.25,21.63840164,21,21,,,2.593978213
30,0.223229049,30,0.25,32.97875708,21,21,,,-0.223229049
31,,31,0.25,1.169518306,21,21,,,0
32,,32,0.25,9.336710487,21,21,,,0
33,,33,0.25,0.763800356,21,21,,,0
34,,34,0.25,8.018623892,21,21,,,0
35,,35,0.25,0.845568329,21,21,,,0
36,,36,0.25,0.512337554,21,21,,,0
37,,37,0.25,0.739739692,21,21,,,0
38,,38,0.25,7.635619765,21,21,,,0
39,,39,0.25,8.124150064,21,21,,,0
40,,40,0.25,6.512765773,21,21,,,0
41,,41,0.25,8.977067835,21,21,,,0
42,,42,0.25,9.073266123,21,21,,,0
43,,43,0.25,0.289587267,21,21,,,0
44,,44,0.25,0.332817123,21,21,,,0
45,,45,0.25,0.146487286,21,21,,,0
46,,46,0.25,8.706513131,21,21,,,0
47,,47,0.25,0.607549201,21,21,,,0
48,,48,0.25,8.511483945,21,21,,,0
49,,49,0.25,8.442276605,21,21,,,0
50,,50,0.25,0.564835004,21,21,,,0
51,,51,0.25,9.868862336,21,21,,,0
52,,52,0.25,7.158337563,21,21,,,0
53,,53,0.25,0.62657046,21,21,,,0
54,,54,0.25,0.266939194,21,21,,,0
55,,55,0.25,6.792853953,21,21,,,0
56,,56,0.25,0.533990779,21,21,,,0
57,,57,0.25,8.847832753,21,21,,,0
58,,58,0.25,7.411379604,21,21,,,0
59,,59,0.25,8.898162409,21,21,,,0
60,,60,0.25,0.218045699,21,21,,,0
61,,61,0.25,6.959744928,21,21,,,0
62,,62,0.25,9.538082244,21,21,,,0
63,,63,0.25,7.273139696,21,21,,,0
64,,64,0.25,1.972417683,21,21,,,0
65,,65,0.25,6.006433835,21,21,,,0
66,,66,0.25,0.401661075,21,21,,,0
67,,67,0.25,8.358085004,21,21,,,0
68,,68,0.25,0.824098504,21,21,,,0
69,,69,0.25,8.791984252,21,21,,,0
70,,70,0.25,1.319677952,21,21,,,0
71,,71,0.25,0.03064786,21,21,,,0
72,,72,0.25,10.35583612,21,21,,,0
73,,73,0.25,0.551675919,21,21,,,0
74,,74,0.25,7.657944586,21,21,,,0
75,,75,0.25,0.3817539,21,21,,,0
76,,76,0.25,0.356787879,21,21,,,0
77,,77,0.25,0.818356514,21,21,,,0
78,,78,0.25,8.287277139,21,21,,,0
79,,79,0.25,6.530847495,21,21,,,0
80,,80,0.25,6.973421687,21,21,,,0
81,,81,0.25,0.41792091,21,21,,,0
82,,82,0.25,0.259345993,21,21,,,0
83,,83,0.25,9.397431493,21,21,,,0
84,,84,0.25,8.905735561,21,21,,,0
85,,85,0.25,8.947853827,21,21,,,0
86,,86,0.25,8.869141744,21,21,,,0
87,,87,0.25,0.433926982,21,21,,,0
88,,88,0.25,8.871879527,21,21,,,0
89,,89,0.25,0.87405178,21,21,,,0
90,,90,0.25,7.014046457,21,21,,,0
91,,91,0.25,9.418508741,21,21,,,0
92,,92,0.25,8.225444323,21,21,,,0
93,,93,0.25,8.842644911,21,21,,,0
94,,94,0.25,0.182601574,21,21,,,0
95,,95,0.25,0.922840783,21,21,,,0
96,-3.721419664,96,0.25,0.181151343,21,21,,,3.721419664
97,-0.881081482,97,0.25,8.309991706,21,21,,,0.881081482
98,-1.886633452,98,0.25,35.51040164,21,21,,,1.886633452
99,-2.605186092,99,0.25,20.14717916,21,21,,,2.605186092
100,-1.025479776,100,0.25,46.41199178,21,21,,,1.025479776
101,-2.411569612,101,0.25,13.22980742,21,21,,,2.411569612
102,-1.539781974,102,0.25,6.853860036,21,21,,,1.539781974
103,,103,0.25,0.440826003,21,21,,,0
104,-1.426744559,104,0.25,24.21440676,21,21,,,1.426744559
105,-1.882611232,105,0.25,87.50088667,21,21,,,1.882611232
106,-2.393053418,106,0.25,14.65937907,21,21,,,2.393053418
107,-0.342757463,107,0.25,0.711200158,21,21,,,0.342757463
108,-0.247014813,108,0.25,70.37997453,21,21,,,0.247014813
109,-1.883437552,109,0.25,51.15084047,21,21,,,1.883437552
110,-1.624895483,110,0.25,55.42904826,21,21,,,1.624895483
111,-0.852615801,111,0.25,18.39395133,21,21,,,0.852615801
112,-2.558941108,112,0.25,62.32887135,21,21,,,2.558941108
113,-1.711067046,113,0.25,99.98395525,21,21,,,1.711067046
114,-1.214896768,114,0.25,5.397496481,21,21,,,1.214896768
115,-0.342894776,115,0.25,36.05533466,21,21,,,0.342894776
116,-3.408240792,116,0.25,0.418400494,21,21,,,3.408240792
117,0.759152901,117,0.25,28.83707358,21,21,,,-0.759152901
118,-2.644938152,118,0.25,44.71753608,21,21,,,2.644938152
119,-0.210108469,119,0.25,80.75041375,21,21,,,0.210108469
120,-2.294448106,120,0.25,11.66028517,21,21,,,2.294448106
121,,121,0.25,22.58156128,21,21,,,0
122,,122,0.25,90.08130612,21,21,,,0
123,,123,0.25,23.76412076,21,21,,,0
124,,124,0.25,23.16843065,21,21,,,0
125,,125,0.25,24.45136393,21,21,,,0
126,,126,0.25,0.203428518,21,21,,,0
127,,127,0.25,21.51307372,21,21,,,0
128,,128,0.25,0.17336915,21,21,,,0
129,-2.660238078,129,0.25,24.43107256,21,21,,,2.660238078
130,,130,0.25,0.27873155,21,21,,,0
131,-1.425819606,131,0.25,54.85743594,21,21,,,1.425819606
132,-1.951937461,132,0.25,5.162040289,21,21,,,1.951937461
133,-1.897121931,133,0.25,17.48722154,21,21,,,1.897121931
134,-1.166828509,134,0.25,67.40279802,21,21,,,1.166828509
135,-1.394275992,135,0.25,36.90100151,21,21,,,1.394275992
136,-0.305367645,136,0.25,88.87357786,21,21,,,0.305367645
137,-1.821490454,137,0.25,21.54674613,21,21,,,1.821490454
138,,138,0.25,0.161213699,21,21,,,0
139,,139,0.25,0.354725079,21,21,,,0
140,,140,0.25,0.157342486,21,21,,,0
141,,141,0.25,32.48822896,21,21,,,0
142,,142,0.25,0.287861258,21,21,,,0
143,,143,0.25,30.65047069,21,21,,,0
144,,144,0.25,47.36511914,21,21,,,0
145,,145,0.25,1.332496102,21,21,,,0
146,,146,0.25,30.34729004,21,21,,,0
147,,147,0.25,0.843273759,21,21,,,0
148,,148,0.25,0.235937195,21,21,,,0
149,,149,0.25,46.85357502,21,21,,,0
150,,150,0.25,32.24049025,21,21,,,0
151,,151,0.25,0.038954661,21,21,,,0
152,,152,0.25,31.11692798,21,21,,,0
153,,153,0.25,0.329969089,21,21,,,0
154,,154,0.25,0.524153342,21,21,,,0
